LineNo,TimeUS,Id,Value
3.9382e+05,1.7392e+09,7,4.2039e+06
3.9822e+05,1.7403e+09,7,4.2039e+06
4.0256e+05,1.7413e+09,7,4.2039e+06
4.0692e+05,1.7424e+09,7,4.2039e+06
4.1123e+05,1.7435e+09,7,4.2039e+06
4.1561e+05,1.7446e+09,7,4.2039e+06
4.1995e+05,1.7456e+09,7,4.2039e+06
4.243e+05,1.7467e+09,7,4.2039e+06
4.286e+05,1.7478e+09,7,4.2039e+06
4.3295e+05,1.7489e+09,7,4.2039e+06
4.3734e+05,1.7499e+09,7,4.2039e+06
4.4172e+05,1.751e+09,7,4.253e+06
4.4606e+05,1.7521e+09,7,4.2532e+06
4.504e+05,1.7531e+09,7,4.2532e+06
4.5477e+05,1.7542e+09,7,4.2532e+06
4.5907e+05,1.7552e+09,7,4.2532e+06
4.6342e+05,1.7563e+09,7,4.2532e+06
4.6777e+05,1.7573e+09,7,4.2532e+06
4.721e+05,1.7584e+09,7,4.2532e+06
4.7647e+05,1.7594e+09,7,4.2532e+06
4.8081e+05,1.7605e+09,7,4.2532e+06
4.8515e+05,1.7615e+09,7,4.2532e+06
4.8958e+05,1.7626e+09,7,4.2531e+06
4.9397e+05,1.7637e+09,7,4.2531e+06
4.9838e+05,1.7647e+09,7,4.2531e+06
5.028e+05,1.7657e+09,7,4.2531e+06
5.0718e+05,1.7668e+09,7,4.2531e+06
5.115e+05,1.7678e+09,7,4.2531e+06
5.1584e+05,1.7689e+09,7,4.2531e+06
5.2018e+05,1.7699e+09,7,4.2531e+06
5.2456e+05,1.771e+09,7,4.2531e+06
5.2886e+05,1.772e+09,7,4.2531e+06
5.332e+05,1.773e+09,7,4.2531e+06
5.3757e+05,1.7741e+09,7,4.2531e+06
5.4194e+05,1.7751e+09,7,4.2531e+06
5.4624e+05,1.7762e+09,7,4.2531e+06
