LineNo,TimeUS,C,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11
74940,1.6601e+09,0,7.3868e-05,1.5081e-05,1.6413e-05,0.0030703,0.011118,0.010646,0.0074849,0.049969,0.050021,0.11686,5.2047e-11,5.6667e-11
76928,1.6606e+09,0,6.6031e-05,3.2549e-05,1.4463e-05,0.00294,0.011681,0.011028,0.0073468,0.047107,0.047143,0.11533,5.1733e-11,5.6115e-11
78932,1.6611e+09,0,6.2739e-05,2.5179e-05,1.5734e-05,0.0025288,0.015491,0.017125,0.0073541,0.04906,0.049018,0.11415,5.133e-11,5.5668e-11
80951,1.6616e+09,0,4.5589e-05,1.2541e-05,1.5116e-05,0.0018151,0.013034,0.015357,0.0072948,0.046171,0.046145,0.11561,5.0774e-11,5.484e-11
82994,1.6621e+09,0,3.711e-05,7.2142e-06,3.0865e-05,0.001535,0.011623,0.014986,0.0073316,0.048855,0.048965,0.11507,5.0813e-11,5.4449e-11
84999,1.6626e+09,0,3.088e-05,6.6165e-06,2.3442e-05,0.001361,0.0099906,0.012453,0.0071618,0.045635,0.045755,0.11287,5.0569e-11,5.3238e-11
87000,1.6631e+09,0,2.8715e-05,6.3573e-06,1.8046e-05,0.0012993,0.010886,0.012368,0.0072947,0.047976,0.048349,0.11546,5.0649e-11,5.2614e-11
89032,1.6636e+09,0,2.8364e-05,5.7949e-06,1.5166e-05,0.001247,0.010258,0.010466,0.0071753,0.045384,0.045687,0.11384,5.0225e-11,5.133e-11
91053,1.6641e+09,0,2.2523e-05,7.5584e-06,1.5358e-05,0.0012456,0.010628,0.010657,0.0072805,0.047405,0.047663,0.11591,4.9813e-11,5.0695e-11
93057,1.6646e+09,0,1.8444e-05,6.6284e-06,1.6132e-05,0.0012186,0.0098865,0.011039,0.0071338,0.044715,0.04485,0.11413,4.8144e-11,4.9439e-11
95080,1.6651e+09,0,1.725e-05,5.7773e-06,1.6952e-05,0.0011716,0.010695,0.012433,0.0072051,0.047324,0.047301,0.11365,4.7237e-11,4.9004e-11
97104,1.6656e+09,0,1.9499e-05,5.5684e-06,1.8972e-05,0.0011132,0.0098094,0.010795,0.0071301,0.044251,0.044228,0.11468,4.568e-11,4.7911e-11
99112,1.6661e+09,0,2.2774e-05,7.1636e-06,1.7729e-05,0.0010904,0.010456,0.010769,0.0071987,0.046827,0.046814,0.11429,4.5171e-11,4.7551e-11
1.0112e+05,1.6666e+09,0,2.4023e-05,6.3461e-06,1.6378e-05,0.0010871,0.009759,0.0097371,0.0072709,0.044018,0.044011,0.12212,4.4115e-11,4.6485e-11
1.0314e+05,1.6671e+09,0,2.218e-05,5.7685e-06,1.1966e-05,0.0010929,0.010742,0.010434,0.0076067,0.046308,0.046287,0.13495,4.3791e-11,4.6102e-11
1.0514e+05,1.6676e+09,0,1.8892e-05,6.02e-06,1.0437e-05,0.0010524,0.011615,0.0096523,0.0076438,0.043465,0.043447,0.14473,4.2913e-11,4.5402e-11
1.0717e+05,1.6681e+09,0,1.9797e-05,1.2099e-05,1.2409e-05,0.00097752,0.013398,0.010672,0.0079458,0.046115,0.045954,0.15794,4.2827e-11,4.559e-11
1.0914e+05,1.6686e+09,0,2.1711e-05,1.0366e-05,1.8813e-05,0.00089509,0.013672,0.012581,0.0080204,0.048646,0.048277,0.16358,4.2738e-11,4.5683e-11
1.1117e+05,1.6691e+09,0,2.0228e-05,1.155e-05,2.4022e-05,0.0007802,0.01077,0.014052,0.0075394,0.045642,0.04544,0.14962,4.259e-11,4.5226e-11
1.1318e+05,1.6696e+09,0,1.6175e-05,7.5702e-06,1.8097e-05,0.00067778,0.009712,0.01378,0.0073279,0.043121,0.043032,0.14422,4.2839e-11,4.4121e-11
1.1519e+05,1.6701e+09,0,1.3626e-05,5.8221e-06,1.7453e-05,0.00062216,0.010346,0.013516,0.0072702,0.045367,0.045589,0.13632,4.3403e-11,4.3665e-11
1.1721e+05,1.6706e+09,0,1.1952e-05,5.4766e-06,1.6188e-05,0.0005704,0.0095852,0.011159,0.0071476,0.042572,0.042778,0.13289,4.3743e-11,4.2695e-11
1.1922e+05,1.6711e+09,0,1.1529e-05,5.537e-06,1.2631e-05,0.00055095,0.01023,0.010809,0.0071795,0.044958,0.045389,0.12782,4.4172e-11,4.2417e-11
1.2129e+05,1.6716e+09,0,1.0686e-05,5.8894e-06,1.4582e-05,0.00054178,0.01069,0.010453,0.0072851,0.047314,0.047707,0.12739,4.4291e-11,4.2179e-11
1.233e+05,1.6721e+09,0,1.0572e-05,5.4444e-06,1.2214e-05,0.00053526,0.01016,0.010565,0.007164,0.044686,0.044882,0.12283,4.3413e-11,4.1563e-11
1.2532e+05,1.6726e+09,0,1.1456e-05,9.926e-06,1.4445e-05,0.00051301,0.010887,0.01301,0.007429,0.047189,0.047204,0.1282,4.2807e-11,4.1496e-11
1.2739e+05,1.6731e+09,0,8.6138e-06,5.5387e-06,1.3597e-05,0.00046711,0.010343,0.013353,0.0075716,0.044584,0.044574,0.13834,4.1047e-11,4.0942e-11
1.2944e+05,1.6736e+09,0,1.0954e-05,6.0727e-06,1.19e-05,0.00041972,0.0096917,0.011166,0.0074257,0.042056,0.042058,0.13811,3.9778e-11,4.045e-11
1.3146e+05,1.6741e+09,0,1.2848e-05,5.5059e-06,1.1596e-05,0.00040771,0.010525,0.011018,0.0073933,0.044605,0.044665,0.13233,3.9677e-11,4.0545e-11
1.3348e+05,1.6746e+09,0,1.1847e-05,5.0691e-06,1.2536e-05,0.00040107,0.0097856,0.0098945,0.0072463,0.041799,0.041849,0.12988,3.9073e-11,4.0079e-11
1.355e+05,1.6751e+09,0,8.557e-06,5.2054e-06,1.835e-05,0.0003931,0.010916,0.010483,0.0072655,0.044099,0.044152,0.12549,3.9027e-11,4.0064e-11
1.3748e+05,1.6755e+09,0,8.1477e-06,5.7381e-06,1.4092e-05,0.00038682,0.012051,0.011,0.0073151,0.046843,0.046828,0.12218,3.8996e-11,4.0033e-11
1.395e+05,1.676e+09,0,6.7813e-06,5.3566e-06,1.0033e-05,0.00037862,0.010374,0.0099725,0.0072225,0.043801,0.043776,0.12159,3.85e-11,3.9588e-11
1.4151e+05,1.6765e+09,0,6.4854e-06,5.9792e-06,1.03e-05,0.00037515,0.010393,0.010356,0.0074726,0.046287,0.046242,0.12726,3.8642e-11,3.9767e-11
1.4353e+05,1.677e+09,0,7.6636e-06,5.4994e-06,9.2986e-06,0.00037459,0.0093719,0.0094717,0.0076092,0.043421,0.043396,0.13837,3.8427e-11,3.9624e-11
1.455e+05,1.6775e+09,0,9.7896e-06,5.3781e-06,9.4074e-06,0.00037259,0.010431,0.01011,0.0078492,0.045218,0.045271,0.14893,3.855e-11,3.9768e-11
1.4751e+05,1.678e+09,0,9.138e-06,5.4292e-06,9.8239e-06,0.00036267,0.010244,0.0096999,0.007903,0.042696,0.042767,0.16014,3.8293e-11,3.9584e-11
1.4953e+05,1.6785e+09,0,8.0185e-06,5.4807e-06,9.877e-06,0.00035525,0.011734,0.0105,0.0081093,0.04485,0.044959,0.17076,3.8387e-11,3.9752e-11
1.5154e+05,1.679e+09,0,7.7975e-06,5.6933e-06,9.3976e-06,0.00033,0.011648,0.0097354,0.0077367,0.042155,0.042219,0.16301,3.8089e-11,3.9717e-11
1.5356e+05,1.6795e+09,0,5.5858e-06,5.5261e-06,1.1144e-05,0.00032033,0.01121,0.010411,0.0076378,0.044788,0.044758,0.15611,3.8261e-11,4.0092e-11
1.555e+05,1.68e+09,0,5.3422e-06,5.2836e-06,1.0231e-05,0.00031611,0.0099184,0.0096432,0.0072857,0.041922,0.041888,0.1437,3.7989e-11,4.0046e-11
1.5748e+05,1.6805e+09,0,5.9536e-06,5.5603e-06,1.1375e-05,0.00031428,0.010192,0.010237,0.0073189,0.044146,0.044103,0.14017,3.8099e-11,4.022e-11
1.595e+05,1.681e+09,0,7.3446e-06,5.5606e-06,1.0028e-05,0.00031542,0.0094023,0.009466,0.0071136,0.041499,0.04148,0.13218,3.7878e-11,3.9984e-11
1.615e+05,1.6815e+09,0,7.9801e-06,5.7975e-06,1.0473e-05,0.00031634,0.010004,0.010042,0.0071283,0.043706,0.043723,0.12681,3.7986e-11,4.0022e-11
1.6356e+05,1.682e+09,0,7.2678e-06,5.7393e-06,1.0027e-05,0.00031943,0.009262,0.0092791,0.0070544,0.040874,0.040895,0.12502,3.7768e-11,3.9719e-11
1.6551e+05,1.6825e+09,0,6.0972e-06,6.0123e-06,1.0467e-05,0.00032232,0.009925,0.0099349,0.0071232,0.043173,0.043209,0.1215,3.7965e-11,3.9834e-11
1.675e+05,1.683e+09,0,5.0877e-06,6.075e-06,1.1317e-05,0.00032448,0.010655,0.010561,0.007188,0.045526,0.045577,0.11863,3.8141e-11,3.9902e-11
1.6952e+05,1.6835e+09,0,6.7401e-06,6.2119e-06,1.0611e-05,0.00032336,0.010072,0.0098782,0.0071506,0.042685,0.042725,0.11872,3.7989e-11,3.9552e-11
1.7149e+05,1.684e+09,0,7.793e-06,5.8438e-06,1.0716e-05,0.00031977,0.0094187,0.0091616,0.0071383,0.03964,0.03967,0.12252,3.7659e-11,3.8981e-11
1.7355e+05,1.6845e+09,0,6.3408e-06,5.7096e-06,9.8175e-06,0.00032118,0.010182,0.0099489,0.0074813,0.042358,0.042375,0.13436,3.7858e-11,3.9022e-11
1.7548e+05,1.685e+09,0,8.2165e-06,5.8945e-06,1.0678e-05,0.00031761,0.010735,0.01047,0.0077475,0.0444,0.044396,0.14629,3.7914e-11,3.8939e-11
1.7749e+05,1.6854e+09,0,1.0196e-05,5.4893e-06,1.0502e-05,0.0003131,0.010029,0.0097167,0.0077731,0.041353,0.041345,0.15667,3.7639e-11,3.8494e-11
1.7951e+05,1.6859e+09,0,7.1662e-06,6.1104e-06,1.2925e-05,0.00031244,0.010993,0.010428,0.0079989,0.04406,0.044004,0.16827,3.7762e-11,3.8504e-11
1.8146e+05,1.6864e+09,0,6.0239e-06,5.7124e-06,1.0843e-05,0.0003083,0.010552,0.0097528,0.0075524,0.040871,0.040816,0.15618,3.7566e-11,3.8153e-11
1.8346e+05,1.6869e+09,0,6.4908e-06,5.6434e-06,1.002e-05,0.00030305,0.01132,0.010327,0.0074925,0.043213,0.043058,0.15045,3.7733e-11,3.8247e-11
1.8542e+05,1.6874e+09,0,6.7616e-06,5.5378e-06,9.0514e-06,0.00029637,0.0099762,0.009543,0.0071796,0.040281,0.040152,0.1397,3.7457e-11,3.7934e-11
1.8741e+05,1.6879e+09,0,7.9387e-06,5.6859e-06,9.1981e-06,0.00029469,0.010191,0.010143,0.0072164,0.042497,0.042347,0.13692,3.7537e-11,3.8009e-11
1.8935e+05,1.6884e+09,0,6.8925e-06,5.3918e-06,9.1312e-06,0.00029651,0.0093224,0.009358,0.0070133,0.039515,0.039423,0.12934,3.7298e-11,3.7803e-11
1.9136e+05,1.6889e+09,0,6.1852e-06,5.3753e-06,9.2071e-06,0.00029905,0.0098935,0.0099278,0.0073374,0.041747,0.041689,0.13992,3.7445e-11,3.7949e-11
1.9337e+05,1.6894e+09,0,5.9537e-06,5.4731e-06,8.8655e-06,0.00030143,0.0092095,0.0092274,0.007454,0.039059,0.039029,0.15029,3.7321e-11,3.7836e-11
1.9535e+05,1.6899e+09,0,7.1499e-06,5.7359e-06,9.0651e-06,0.00030189,0.0099811,0.0099466,0.007733,0.041353,0.041354,0.16085,3.7644e-11,3.8137e-11
1.9733e+05,1.6904e+09,0,6.8486e-06,5.6663e-06,8.8888e-06,0.00030313,0.00941,0.0092208,0.0077192,0.038688,0.0387,0.16913,3.742e-11,3.7893e-11
1.9937e+05,1.6909e+09,0,5.9414e-06,5.9407e-06,8.9279e-06,0.00030301,0.010779,0.0099302,0.0079705,0.041099,0.041134,0.1812,3.7642e-11,3.8108e-11
2.0132e+05,1.6914e+09,0,5.6478e-06,5.621e-06,8.7123e-06,0.00029442,0.010312,0.0091239,0.007869,0.038146,0.038169,0.18744,3.7376e-11,3.7909e-11
2.0334e+05,1.6919e+09,0,6.0429e-06,5.5012e-06,8.9482e-06,0.00028735,0.01116,0.0098099,0.0080739,0.040476,0.040432,0.19848,3.7579e-11,3.8207e-11
2.0531e+05,1.6924e+09,0,5.9231e-06,5.248e-06,8.9438e-06,0.00027797,0.0099839,0.0090597,0.0075226,0.037777,0.037726,0.17777,3.727e-11,3.8093e-11
2.0736e+05,1.6929e+09,0,6.1857e-06,5.5928e-06,1.1297e-05,0.00027351,0.010036,0.0097955,0.0073576,0.04049,0.040353,0.1607,3.7589e-11,3.8501e-11
2.0936e+05,1.6934e+09,0,5.6152e-06,5.5214e-06,1.0014e-05,0.00027664,0.0090779,0.0091022,0.0074433,0.037745,0.03765,0.16966,3.742e-11,3.8358e-11
2.1136e+05,1.6939e+09,0,4.5621e-06,5.9791e-06,1.2949e-05,0.00027642,0.0098494,0.0097535,0.0074378,0.040026,0.03998,0.16301,3.7608e-11,3.8464e-11
2.1336e+05,1.6944e+09,0,5.7048e-06,6.0807e-06,9.3191e-06,0.00027782,0.009339,0.0090777,0.0071329,0.037292,0.037282,0.1478,3.742e-11,3.8065e-11
2.1534e+05,1.6949e+09,0,5.389e-06,6.0163e-06,9.8306e-06,0.00027908,0.0098812,0.0097779,0.0072322,0.039761,0.039788,0.1432,3.7664e-11,3.8198e-11
2.173e+05,1.6954e+09,0,5.0085e-06,5.6961e-06,1.1223e-05,0.00027795,0.0091727,0.0089854,0.0072545,0.036952,0.036976,0.14726,3.741e-11,3.7814e-11
2.1936e+05,1.6959e+09,0,5.7824e-06,5.9625e-06,9.6917e-06,0.00027745,0.010094,0.0097121,0.0075438,0.039314,0.039341,0.15739,3.754e-11,3.7826e-11
2.2137e+05,1.6964e+09,0,7.8544e-06,5.3638e-06,9.8018e-06,0.00027489,0.010489,0.010332,0.0075497,0.041451,0.041467,0.15437,3.7678e-11,3.7876e-11
2.2334e+05,1.6968e+09,0,9.2506e-06,5.2552e-06,9.4038e-06,0.00027256,0.0097898,0.009646,0.0072456,0.03881,0.03882,0.14221,3.7454e-11,3.7582e-11
2.2539e+05,1.6973e+09,0,7.5688e-06,5.1353e-06,9.4675e-06,0.00027518,0.010358,0.010189,0.0072878,0.040827,0.040816,0.13809,3.7644e-11,3.7735e-11
2.2738e+05,1.6978e+09,0,6.2263e-06,5.2051e-06,9.0709e-06,0.00027656,0.0096363,0.0096797,0.0071373,0.038571,0.038551,0.13057,3.7606e-11,3.7646e-11
2.294e+05,1.6983e+09,0,5.3747e-06,5.2884e-06,9.0428e-06,0.00027824,0.010161,0.010285,0.0071559,0.041018,0.040988,0.12547,3.7762e-11,3.7751e-11
2.3141e+05,1.6988e+09,0,6.7781e-06,5.0659e-06,8.6628e-06,0.00027778,0.0093487,0.0095647,0.0072169,0.03811,0.038095,0.13235,3.7546e-11,3.7489e-11
2.3337e+05,1.6993e+09,0,7.4611e-06,5.1754e-06,9.0747e-06,0.00027743,0.0099481,0.01017,0.0075015,0.040291,0.040308,0.14277,3.7797e-11,3.7694e-11
2.3536e+05,1.6998e+09,0,5.863e-06,5.0757e-06,9.0089e-06,0.00027953,0.0092785,0.0095128,0.007291,0.037649,0.037673,0.13834,3.7769e-11,3.7622e-11
2.3738e+05,1.7003e+09,0,6.167e-06,5.1965e-06,9.1095e-06,0.00027954,0.0099014,0.010237,0.0072287,0.039759,0.039822,0.13166,3.8003e-11,3.7791e-11
2.3935e+05,1.7008e+09,0,6.2453e-06,5.2508e-06,9.2311e-06,0.0002788,0.0093229,0.0095358,0.0071322,0.037425,0.037486,0.12959,3.8026e-11,3.7718e-11
2.4134e+05,1.7013e+09,0,5.4155e-06,5.7211e-06,9.0361e-06,0.00028111,0.0099236,0.010055,0.0071296,0.039508,0.039596,0.12491,3.8268e-11,3.7904e-11
2.433e+05,1.7018e+09,0,5.4023e-06,5.7718e-06,9.0469e-06,0.00028259,0.0091903,0.0092276,0.0069474,0.036866,0.036933,0.12003,3.8063e-11,3.7667e-11
2.4529e+05,1.7023e+09,0,5.9307e-06,6.0223e-06,9.3989e-06,0.00028427,0.0099289,0.009979,0.0070883,0.039391,0.039455,0.12095,3.8321e-11,3.7943e-11
2.4724e+05,1.7028e+09,0,4.8165e-06,5.9549e-06,8.8612e-06,0.00028724,0.0091322,0.0092506,0.0069163,0.036651,0.036694,0.11705,3.7914e-11,3.7651e-11
2.4927e+05,1.7033e+09,0,4.9182e-06,6.4261e-06,9.3142e-06,0.00028721,0.0098338,0.010107,0.007043,0.03894,0.038981,0.11834,3.7973e-11,3.782e-11
2.5127e+05,1.7038e+09,0,6.5655e-06,5.7868e-06,9.5938e-06,0.0002826,0.0091432,0.0096129,0.0068769,0.036349,0.036384,0.11519,3.7383e-11,3.7494e-11
2.5331e+05,1.7043e+09,0,6.1525e-06,6.252e-06,9.5655e-06,0.00028014,0.0097547,0.010445,0.0069235,0.038446,0.038523,0.11339,3.7348e-11,3.76e-11
2.5532e+05,1.7048e+09,0,4.6415e-06,9.6406e-06,8.7009e-06,0.00026889,0.0092897,0.010876,0.0069173,0.036158,0.036236,0.11429,3.7071e-11,3.7546e-11
2.5733e+05,1.7053e+09,0,5.8775e-06,5.3617e-06,9.6567e-06,0.00025844,0.0099802,0.011919,0.0069924,0.038616,0.038868,0.1133,3.7067e-11,3.7643e-11
2.5931e+05,1.7058e+09,0,5.5139e-06,5.3705e-06,9.5849e-06,0.00024963,0.010429,0.011676,0.0070499,0.041127,0.041576,0.11231,3.7204e-11,3.7804e-11
2.613e+05,1.7063e+09,0,5.2176e-06,5.4784e-06,9.0076e-06,0.00024302,0.0096287,0.010335,0.0070975,0.038368,0.038708,0.11825,3.6971e-11,3.7541e-11
2.6329e+05,1.7068e+09,0,5.2262e-06,5.0051e-06,9.1495e-06,0.00023868,0.0089263,0.0093284,0.0071755,0.035862,0.036124,0.12794,3.6752e-11,3.7248e-11
2.6535e+05,1.7073e+09,0,4.7361e-06,5.0593e-06,9.6816e-06,0.00023797,0.0095129,0.0096858,0.0074837,0.038314,0.038625,0.14089,3.701e-11,3.7445e-11
2.6736e+05,1.7078e+09,0,4.8559e-06,4.9912e-06,1.0954e-05,0.00023634,0.009045,0.0090044,0.0071514,0.035985,0.036201,0.13313,3.6912e-11,3.7257e-11
2.6933e+05,1.7083e+09,0,4.8293e-06,5.1342e-06,1.0998e-05,0.00023546,0.010074,0.0097575,0.0071272,0.038513,0.038724,0.12855,3.7243e-11,3.749e-11
2.7135e+05,1.7088e+09,0,4.8834e-06,5.202e-06,1.0694e-05,0.00023445,0.010946,0.010421,0.0071834,0.040964,0.041139,0.12824,3.7357e-11,3.7515e-11
2.7334e+05,1.7093e+09,0,4.7375e-06,5.0159e-06,1.0187e-05,0.00023101,0.010195,0.0096754,0.0069994,0.038255,0.038362,0.12304,3.7193e-11,3.7258e-11
2.7533e+05,1.7098e+09,0,3.8026e-06,5.0902e-06,1.0292e-05,0.00022979,0.010826,0.010298,0.007032,0.040757,0.040795,0.11991,3.7383e-11,3.7416e-11
2.7738e+05,1.7103e+09,0,3.4216e-06,4.9687e-06,1.0029e-05,0.00022821,0.0098659,0.0095703,0.006963,0.038203,0.038207,0.11962,3.7161e-11,3.7218e-11
2.7939e+05,1.7108e+09,0,3.5338e-06,5.092e-06,1.0276e-05,0.00022719,0.01047,0.01027,0.0070237,0.040816,0.040757,0.11753,3.7314e-11,3.7402e-11
2.8136e+05,1.7113e+09,0,3.5304e-06,4.9798e-06,9.7477e-06,0.00022712,0.0096084,0.0095308,0.0069776,0.038038,0.037987,0.11761,3.7189e-11,3.7353e-11
2.8333e+05,1.7117e+09,0,3.2445e-06,5.1571e-06,9.7222e-06,0.00022788,0.010264,0.010239,0.007065,0.040771,0.040703,0.11622,3.7428e-11,3.7634e-11
2.8527e+05,1.7122e+09,0,3.5276e-06,4.9879e-06,9.2642e-06,0.00022818,0.0094634,0.0094887,0.0069268,0.037956,0.037911,0.11328,3.7231e-11,3.751e-11
2.8729e+05,1.7127e+09,0,3.8267e-06,5.1919e-06,9.2248e-06,0.000229,0.0099306,0.0099973,0.0070477,0.040099,0.040064,0.11494,3.737e-11,3.7689e-11
2.8929e+05,1.7132e+09,0,3.5008e-06,5.1509e-06,1.0327e-05,0.00022827,0.0095467,0.0093353,0.0069127,0.037597,0.037585,0.11274,3.7201e-11,3.7566e-11
2.9131e+05,1.7137e+09,0,3.7898e-06,5.2202e-06,1.1466e-05,0.0002202,0.013043,0.0099485,0.0070523,0.039777,0.039806,0.11473,3.7381e-11,3.7768e-11
2.9332e+05,1.7142e+09,0,3.8688e-06,5.0755e-06,9.073e-06,0.00019508,0.012668,0.0093537,0.0072348,0.037671,0.037651,0.12537,3.7234e-11,3.783e-11
2.9532e+05,1.7147e+09,0,4.1615e-06,5.2515e-06,9.1918e-06,0.00018349,0.011966,0.010164,0.0075269,0.040389,0.040175,0.13696,3.7526e-11,3.8318e-11
2.9731e+05,1.7152e+09,0,4.3696e-06,5.1972e-06,9.2035e-06,0.00017503,0.010262,0.0094074,0.0075562,0.037632,0.037452,0.14755,3.7266e-11,3.8387e-11
2.9934e+05,1.7157e+09,0,4.0763e-06,5.2561e-06,9.5054e-06,0.00017328,0.010512,0.010078,0.0076563,0.040164,0.039901,0.15439,3.7385e-11,3.8676e-11
3.0134e+05,1.7162e+09,0,4.5023e-06,5.1255e-06,9.3526e-06,0.000172,0.0095028,0.0094097,0.0072301,0.037722,0.037537,0.14297,3.714e-11,3.8645e-11
